location,year,bloom_date,normal_date,substitute_species
新潟,2001,2001/4/8,4月8日,
新潟,2002,2002/3/30,4月8日,
新潟,2003,2003/4/6,4月8日,
新潟,2004,2004/4/2,4月8日,
新潟,2005,2005/4/14,4月8日,
新潟,2006,2006/4/11,4月8日,
新潟,2007,2007/4/6,4月8日,
新潟,2008,2008/4/5,4月8日,
新潟,2009,2009/4/7,4月8日,
新潟,2010,2010/4/11,4月8日,
金沢,2001,2001/4/2,4月3日,
金沢,2002,2002/3/26,4月3日,
金沢,2003,2003/4/3,4月3日,
金沢,2004,2004/3/28,4月3日,
金沢,2005,2005/4/7,4月3日,
金沢,2006,2006/4/6,4月3日,
金沢,2007,2007/3/29,4月3日,
金沢,2008,2008/4/2,4月3日,
金沢,2009,2009/4/3,4月3日,
金沢,2010,2010/4/1,4月3日,
富山,2001,2001/4/5,4月3日,
富山,2002,2002/3/26,4月3日,
富山,2003,2003/4/4,4月3日,
富山,2004,2004/3/29,4月3日,
富山,2005,2005/4/8,4月3日,
富山,2006,2006/4/7,4月3日,
富山,2007,2007/3/30,4月3日,
富山,2008,2008/4/2,4月3日,
富山,2009,2009/3/30,4月3日,
富山,2010,2010/4/2,4月3日,
長野,2001,2001/4/10,4月11日,
長野,2002,2002/4/2,4月11日,
長野,2003,2003/4/15,4月11日,
長野,2004,2004/4/6,4月11日,
長野,2005,2005/4/14,4月11日,
長野,2006,2006/4/15,4月11日,
長野,2007,2007/4/7,4月11日,
長野,2008,2008/4/10,4月11日,
長野,2009,2009/4/8,4月11日,
長野,2010,2010/4/9,4月11日,
宇都宮,2001,2001/3/28,3月30日,
宇都宮,2002,2002/3/18,3月30日,
宇都宮,2003,2003/3/31,3月30日,
宇都宮,2004,2004/3/27,3月30日,
宇都宮,2005,2005/4/6,3月30日,
宇都宮,2006,2006/3/29,3月30日,
宇都宮,2007,2007/3/26,3月30日,
宇都宮,2008,2008/3/28,3月30日,
宇都宮,2009,2009/3/26,3月30日,
宇都宮,2010,2010/4/2,3月30日,
福井,2001,2001/4/2,4月1日,
福井,2002,2002/3/26,4月1日,
福井,2003,2003/4/2,4月1日,
福井,2004,2004/3/29,4月1日,
福井,2005,2005/4/7,4月1日,
福井,2006,2006/4/5,4月1日,
福井,2007,2007/3/29,4月1日,
福井,2008,2008/4/2,4月1日,
福井,2009,2009/3/26,4月1日,
福井,2010,2010/4/2,4月1日,
前橋,2001,2001/3/26,3月29日,
前橋,2002,2002/3/20,3月29日,
前橋,2003,2003/3/31,3月29日,
前橋,2004,2004/3/26,3月29日,
前橋,2005,2005/4/6,3月29日,
前橋,2006,2006/3/28,3月29日,
前橋,2007,2007/3/28,3月29日,
前橋,2008,2008/3/26,3月29日,
前橋,2009,2009/3/30,3月29日,
前橋,2010,2010/4/1,3月29日,
熊谷,2001,2001/3/25,3月27日,
熊谷,2002,2002/3/17,3月27日,
熊谷,2003,2003/3/28,3月27日,
熊谷,2004,2004/3/23,3月27日,
熊谷,2005,2005/4/4,3月27日,
熊谷,2006,2006/3/27,3月27日,
熊谷,2007,2007/3/23,3月27日,
熊谷,2008,2008/3/25,3月27日,
熊谷,2009,2009/3/25,3月27日,
熊谷,2010,2010/3/31,3月27日,
水戸,2001,2001/3/30,3月30日,
水戸,2002,2002/3/20,3月30日,
水戸,2003,2003/4/1,3月30日,
水戸,2004,2004/3/27,3月30日,
水戸,2005,2005/4/6,3月30日,
水戸,2006,2006/3/30,3月30日,
水戸,2007,2007/3/24,3月30日,
水戸,2008,2008/3/27,3月30日,
水戸,2009,2009/3/27,3月30日,
水戸,2010,2010/4/2,3月30日,
岐阜,2001,2001/3/25,3月25日,
岐阜,2002,2002/3/17,3月25日,
岐阜,2003,2003/3/24,3月25日,
岐阜,2004,2004/3/24,3月25日,
岐阜,2005,2005/4/2,3月25日,
岐阜,2006,2006/3/26,3月25日,
岐阜,2007,2007/3/23,3月25日,
岐阜,2008,2008/3/23,3月25日,
